篇名,作者,页数,关键词,摘要,filename
导读,,1, ,"<正>随着大数据处理从粗放走向集约,性能、成本、功耗等多方面的约束为大数据系统设计提供了新的机遇与挑战。各种异构并行处理体系结构与芯片架构不断创新并被广泛部署,在为大数据处理提供更强大的并行计算能力的同时,显著降低了系统的总体能耗。然而,这些异构并行处理硬件也给面向大数据处理的编程模型、开发调试与系统构建带来了新的挑战。本专题汇集了国内活跃在一线的系统研究者的7篇文章,从GPU的并发同步、大规模异构数据并行处理、高性能并行存储、大规模 ",DSJU202004001
GPU事务性内存技术研究,"林玉哲1,2:45141516|张为华1,2:06709078",15,GPU; 事务性内存; 并行计算;,"GPU是并行计算领域重要的体系结构之一,然而在面对高数据竞争的场景时,程序员往往需要设计复杂的并行方案。为了简化这一过程,GPU事务性内存实现了复杂的数据同步和并行,对外则仅提供简单的API。首先介绍了GPU事务性内存的研究背景。其次,讨论了近年的GPU事务性内存的设计方案与策略,分析了不同设计方案遇到的问题和解决方案,包括硬件和软件上的实现。最后对GPU事务性内存的现状和未来的发展做出了总结和展望。 ",DSJU202004002
大规模异构数据并行处理系统的设计、实现与实践,夏正勋:45658989|罗圣美:45658990|孙元浩:45658938|唐剑飞:45658991|张燕:45658992,12,并行系统; 异构数据; 统一架构;,"随着互联网和物联网应用的快速发展,数据处理模式从结构化逐渐扩展到结构化、半结构化和非结构化混合的异构数据处理模式。设计了一种大规模异构数据并行处理系统,在统一的平台功能视图基础上,采用统一的资源管理框架,实现对结构化、JSON/XML、图数据、文档数据等多种异构数据进行存储和查询,采用统一的开发语言,实现跨数据类型和数据存储引擎的并行计算,满足多业务应用开发的需要,并通过实际的商业部署,验证了系统的可行性。 ",DSJU202004003
面向大数据异构系统的神威并行存储系统,何晓斌1:44960736|蒋金虎2:41841595,10,大数据; 高性能计算; 神威·太湖之光; 异构; 并行存储;,"随着大数据应用和传统高性能计算应用的融合以及异构计算的引入,传统面向高性能计算的并行存储系统面临着异构计算I/O支持差、性能干扰和效率低等问题。通过在系统架构引入多层次存储架构、设计缓存映射机制来减轻I/O负载。在转发服务层,调整I/O转发策略,均衡I/O负载。在后端存储层,对系统高可用功能进行调整,解决大数据I/O访问模式与原有高可用措施的冲突。经过优化设计和完善后的并行存储系统更好地适应了异构众核架构,使得某些应用获得了10倍以上的I/O性能提升。 ",DSJU202004004
面向异构众核超级计算机的大规模稀疏计算性能优化研究,胡正丁:44684221|薛巍:08184092,16,大数据应用; 稀疏问题; 高性能计算; 性能优化;,"随着超级计算机技术的发展,大数据应用中大规模稀疏问题的求解成为可能,而稀疏问题的不规则计算和访存特性又给应用实现和性能优化带来了挑战。异构众核是超级计算机系统中的常见架构,其设计向应用开发者提出了高要求,如何发挥其强大的计算能力成为一个难题。分析了稀疏计算的性能优化挑战,介绍了基于典型异构众核计算机系统的3种大规模稀疏处理类应用设计和性能优化案例,以期为在新一代异构众核系统上开展大规模稀疏计算问题求解提供借鉴。 ",DSJU202004005
深度学习中的内存管理问题研究综述,"马玮良1,2:44683440|彭轩1,2:44683438|熊倩1,2:10555475|石宣化1,2:07592035|金海1,2:07599718",13,内存管理; 深度学习; 内存交换; 重计算; 内存共享; 压缩;,"近年来,深度学习已经在多个领域取得了巨大的成功。深度神经网络向着更深更广的方向发展,训练和部署深度神经网络模型都将面对巨大的内存压力。加速设备有限的内存空间已经成为限制神经网络模型快速发展的重要因素,如何在深度学习中实现高效的内存管理成为深度学习发展的关键问题。为此,介绍了深度神经网络的基本特征;分析了深度学习训练过程中的内存瓶颈;对一些代表性的研究工作进行了分类阐述,并对其优缺点进行了分析;对深度学习中内存管理技术的未来发展趋势进行了探索。 ",DSJU202004006
新一代深度学习框架研究,于璠:29635044,12,人工智能; 机器学习; 深度学习; 计算框架; MindSpore;,"从人工智能的历史出发,简述深度学习发展历程以及目前的挑战,通过介绍新一代深度学习框架的特点,分析总体框架,阐述自动并行、自动微分、自动调优等技术优势以及协同昇腾处理器的性能优势,希望可以为深度学习技术研究人员提供参考。 ",DSJU202004007
大数据场景中语言虚拟机的应用和挑战,"吴明瑜1,2:37987631|陈海波1,2:08566010|臧斌宇1,2:31515982",11,语言虚拟机; 垃圾回收; 异构内存;,"语言虚拟机为大数据应用提供了与平台无关的执行环境,简化了应用的开发和部署,因此在大数据场景中得到了较广泛的应用。主要分析了两种主流语言虚拟机——JVM和CLR在大数据场景中的应用,并阐述了使用语言虚拟机面临的4个挑战:初始化及""热身""开销、垃圾回收暂停、异构内存支持、数据格式转换。之后,分别针对4个挑战讨论了现有的解决方案,并分析了这些方案的不足之处及未来可能的优化方向。 ",DSJU202004008
适用于特殊类型自然语言分类的自适应特征谱神经网络,王一峰:43951198|孙丽茹:44957798|崔良乐:34008098|赵毅:21840205,13,自适应特征谱; 神经网络; 文本分类; 古诗词; 拉普拉斯矩阵;,"计算机算力的提升使得深度学习算法迅速发展,然而由于古诗文特殊的语序、用词、结构、句式、文法结构、表达方式,深度学习模型需要消耗更多的算力进行特征提取等工作,因此并未在这一领域取得广泛的应用。为此,提出了一种新型的神经网络结构——自适应特征谱神经网络。该算法有效减少了运算时间,可以自适应地选择对分类最有用的特征,形成最高效的特征谱,得到的分类结果具有一定的可解释性,而且由于其运行速度快、内存占用小,因此非常适用于学习辅助软件等方面。以此算法为基础,开发了相应的个性化学习平台。该算法使古诗文分类的准确率由93.84%提升到了99%。 ",DSJU202004009
区块链技术在政务数据共享中的应用,王鹏1:39687391|魏必2:44971905|王聪3:26089625,10,区块链技术; 政务服务信息化; 治理创新; 不动产登记;,"区块链技术能够化解数据共享面临的安全与效率矛盾,在政务数据共享中具有很大的应用潜力。基于当前政策环境和传统数据共享的问题,结合区块链技术的应用原理与核心优势,分析了区块链在政务信息资源共享中应用的优势与预期效果,引入并分析了不动产区块链信息共享平台建设的实际案例。案例证明,区块链技术可有效解决政务数据共享存在的问题与挑战,促使政府为社会提供更优质的公共服务。在总结了运用区块链技术的经验与启示之后,提出了未来区块链促进政务信息共享的建议与展望。 ",DSJU202004010
大数据应用技术课程教学改革与实践,"夏大文1,2:29269114|王林1,2:28006099|张乾1,2:28006098|魏嘉银1,2:44607208|冯夫健1,2:31199398|李华青3,4:28898546",10,数据科学; 大数据技术; 教学改革; 课程体系;,"大数据促进了数据科学研究的发展和数据科学学科的建设,催生了对新型数据人才的需求。分析了大数据人才培养的现实需求,指出了大数据人才培养的现存问题,然后以""大数据应用技术课程""为例,在重构教学体系、优化教学内容、改进教学方法、规范教学过程和完善教学评价等方面阐述了大数据专业教学改革的路径选择与实践,致力于创新培养兼具工程实践能力与技术创新能力的跨界复合型大数据人才。 ",DSJU202004011
美俄人工智能军事应用发展分析,缐珊珊:37389566,8,人工智能; 军事; 应用;,"随着人工智能领域技术的快速发展,其应用范围扩展到了军事领域。重点分析了美俄人工智能军事应用的途径和特点,结合大数据的特点,探索美俄人工智能军事应用的发展路径,预测性地提出了未来该领域人工智能应用的趋势,以期为我国人工智能的应用提供参考和借鉴。 ",DSJU202004012
数据资产化框架初探,"叶雅珍1,2,3:39026333|刘国华1:06590370|朱扬勇2,3:06710346",10,数据资产; 数据质量; 数字经济; 大数据;,"随着数字经济的发展,将作为数字经济关键要素的数据看作一类新型资产已经获得共识。但是,并不是所有数据都可以作为资产。因此,哪些数据可以作为数据资产、作为数据资产的数据应该具备什么条件、如何将一个数据集转化为数据资产是当前数据产业、数字经济亟须解决的问题。研究了数据资产的特点和需具备的条件,提出了一个数据资产化基本框架,包括数据资源确权、数据价值确认与质量管控、数据装盒入库、货币计价与评估、数据资产折旧和增值的管理5个步骤,为数据资源的资产化提供了一条可行的路径。 ",DSJU202003001
基于利润最大化的数据资产价值评估模型,董祥千1:36354638|郭兵1:08745872|沈艳2:39111080|段旭良1:36354636|申云成1:36354637|张洪1:11628789,8,数据资产; 数据市场; 交易模型;,"""数据是有价值的,并将成为一种经济商品""的理念已成为共识,然而数据的非竞争性使数据价值有别于有形资产的价值。正确理解数据资产价值是实现数据共享与交换、发展数字经济的前提与保障。首先分析数据价值评价方法及数据资产的商品属性,然后讨论数据资产交易的市场模型,最后在综合数据资产属性及市场模型的基础上提出参与者利润建模方法。提出模型化数据市场参与者利润的相关特性,为参与者进入市场提供理论参考依据。 ",DSJU202003002
基于区块链的数据市场,汪靖伟:44003653|郑臻哲:31427515|吴帆:27650262|陈贵海:24787528,15,数据资产; 数据市场; 区块链; 隐私保护;,"在互联网时代,每天都产生着不可估量的数据,在数据共享过程中,涌现出了数据隐私性和所有权归属等复杂问题。区块链是一种去中心化的分布式数据存储技术,引入区块链能消除集中式数据市场的弊端,但同时分布式数据市场又产生了安全与隐私问题。综述了国内外大数据交易市场的产业现状和研究进展,提炼了基于区块链的大数据共享流通平台应满足的性质。根据这些性质提出了一个基于区块链的数据市场框架,分析和讨论了这个框架中的安全性和隐私性问题及对应的解决方案。基于这个框架,实现了一个数据市场测试系统,并证实了该框架的可行性和安全性。 ",DSJU202003003
数据资产标准研究进展与建议,戴炳荣:28511889|闭珊珊:25222434|杨琳:27176718|纪婷婷:32964380|陈美:38581475,9,数据资产; 数据资产管理; 数据资产评估;,"数据被认为是各类组织的宝贵资产,数据资产的标准化研究受到各个国家、行业和组织的重视。从标准视角介绍了国内外相关组织的数据资产方向的理论研究、实践以及与数据资产相关的标准化研究进展,并提出了数据资产的标准化思路以及数据资产管理的通用过程框架,为数据资产的管理和应用提供参考。 ",DSJU202003004
面向价值实现的数据资产管理体系构建, ,12,数据资产; 数据资产管理; 数据价值; 数据运营;,"在数字经济时代,数据正日益成为企业重要的战略性资产,但数据资产管理能力的不足正在日益成为制约企业实现数据增值的关键问题。通过梳理数据资产管理的演进历史,明确数据资产管理的相关概念,分析当前数据资产管理的行业现状,阐述面向价值实现的数据资产管理体系的设计思路和主要内容,展示了完整的数据资产管理体系,强调了数据运营的重要作用,并构建了数据资产管理体系的实践路径,总结了数据资产管理的发展趋势。 ",DSJU202003005
导读,,1, ,"<正>数据流(data flow)是麻省理工学院(MIT)的Jack B. Dennis教授在20世纪70年代提出的一种计算机体系架构,这在当时是很大胆的想法。此前,冯·诺依曼在1946年提出的以存储程序和顺序执行为主要特征的体系结构是人们唯一的选择。相对于数据流,传统的体系结构被归为控制流(control flow)一类。与控制流相比,数据流计算有天然的并行性,这使得它在早期超级计算机的发展历史上产生了重要的影响。虽然数据流计算机至今没有成为主流,但是在大数据时代,计算机有史以来的""以 ",DSJU202003006
面向大数据处理的数据流编程模型和工具综述,邹骁锋:43804994|阳王东:28725781|容学成:42795322|李肯立:07417443|李克勤:32297221,14,数据流; 编程模型; 大数据处理; 编程工具;,"利用大数据计算平台对大量的静态数据进行数据挖掘和智能分析助推了大数据和人工智能应用的落地。在面临互联网、物联网产生的日益庞大的实时动态数据的处理需求时,数据流计算被逐步引入目前的一些大数据处理平台中。针对数据流的编程模型,比较了传统软件工程的面向数据流的分析和设计方法与目前针对大数据处理平台的数据流编程模型提供的结构定义和模型参考,分析了两者的差异和不足,总结了数据流编程模型的主要特征和关键要素。分析了目前数据流编程的主要方式以及与主流编程工具的结合,针对大数据处理的数据流计算业务需求,给出了可视化数据流编程工具的基本框架和编程模式。 ",DSJU202003007
数据流计算模型及其在大数据处理中的应用,毕倪飞:43805202|丁光耀:43805203|陈启航:43805204|徐辰:27695633|周傲英:21917016,14,数据流计算模型; 大数据处理; 执行引擎; 统一编程;,"如今无界、乱序的大规模数据集越来越普遍,并且消费者对这些数据集的处理需求日益复杂,如时间语义、窗口以及处理时延等。针对在无界、乱序的大规模数据集上演进的数据处理需求,探讨了大数据处理中的数据流计算模型。一方面,从执行引擎层面分析了大数据处理中的数据流计算模型所体现的数据流图;另一方面,从统一编程层面分析了大数据处理中的数据流计算模型所体现的数据流编程模型。在此基础上,进一步结合Spark批处理引擎和Flink流计算引擎等多个执行引擎,对比分析了数据流图和数据流编程模型在2类执行引擎中的具体实现。 ",DSJU202003008
数据流计算环境下的集群资源管理技术,汤小春:10204100|符莹:43805298|丁朝:43805299|毛安琪:43805300|李战怀:10203077,14,数据流模型; 集群资源; 调度框架; 大数据;,"以集群为基础的高性能计算的发展经历了3个阶段的演化,即计算子系统与存储子系统的分离、计算子系统与存储子系统的融合以及以数据并行为基础的dataflow编程模型。随着Spark、Flink等数据流编程模型在大数据计算领域的广泛使用,计算作业类型千变万化,如何保证各种数据流计算作业对集群资源的共享使用是集群资源管理的核心,也是降低基础设施成本的主要手段。分析集群资源管理的历史变化,从数据流编程模型的角度出发,对HoD、集中式、双层调度、分布式以及混合式管理展开了深入的探索,介绍了其各自的优缺点以及应用现状,为数据流计算环境下的集群资源管理和调度的使用或者研发提供一定的参考和借鉴。 ",DSJU202003009
分布式数据流计算系统的数据缓存技术综述,袁旭初:43865916|付国:43865917|毕继泽:43865918|张岩峰:11334212|聂铁铮:06578287|谷峪:10808557|鲍玉斌:06577381|于戈:05968072,16,数据流; 缓存; 分布式系统; 消息队列;,"数据流编程模型以其高度并行计算、支持流水线处理、支持函数式编程等优点被许多主流的计算系统采用。在分布式数据流系统和异构数据流系统中,算子之间数据生产和数据消化的速度不一致可能会导致数据堆积或者算子闲置等问题。为支持高效的数据流系统,需要设计缓存系统,以保证数据流的高效缓存和移动。选取了几个典型的分布式数据流系统与分布式消息队列系统进行系统分析,并总结了目前消息队列系统对数据流缓存系统的支持程度。最后对数据缓存技术进行了阐述,并分析了未来的数据流缓存系统的需求和研究方向。 ",DSJU202003010
数据流技术在GPU和大数据处理中的应用,苏华友:21003097|梅松竹:23496111|李荣春:24927583|窦勇:20514904,12,数据流; GPU; 大数据处理;,"数据流模型是一种高效的计算模型,由于其在并行性方面具有天然的优势,数据流技术在软硬件领域得到了广泛的应用。在硬件体系结构方面,数据流模型引领计算机体系结构在传统冯·诺伊曼架构下向支持更高并发的方向发展。基于超长向量处理单元的流处理和SIMT的现代GPU就广泛使用了数据流技术的思想。在编程模型方面,数据流思想在大数据编程模型领域得到了广泛应用,例如MapReduce和Spark等。从数据流模型的角度多层次分析了英伟达GPU的体系结构以及CUDA编程模型,阐述了数据流模型在GPU软硬件系统中的应用。分析了数据流思想和GPU大规模并行处理体系结构在大数据处理中的应用和发展趋势。 ",DSJU202003011
导读,,1, ,"<正>十九届四中全会明确指出要推进国家治理体系和治理能力现代化。利用大数据手段提升政府治理能力是一条重要的途径,正在全国范围内开展的""最多跑一次""行政服务改革实践就需要大数据的支撑。本专题围绕新时代政府治理的目标,就如何构建大数据赋能的新型政府治理体系,如何构建政府大数据基础设施,如何采集、整理、共享、交换、应用政府大数据,如何保障政府数据安全和数据隐私,如何解决政府治理大数据在实践中面临的挑战和亟待解决的关键技术问题等展开讨论。我们特邀国家自然科学基金委员会-广东省人民 ",DSJU202002001
政府大数据治理:政府管理的新形态,"杨孟辉1,2:23772782|杜小勇2,3:09746797",16,政府治理; 数据治理; 大数据治理; 政府大数据治理;,"政府大数据治理成为政府关心的一个重要议题。采用文献调研等方法,对当前主要的国家政府大数据实践进行了分析,认为政府大数据应用仍处于早期阶段。对政府大数据治理的概念进行了溯源,认为政府大数据治理一方面继承了公共和行政管理领域的治理理论和行政管理手段,另一方面也借鉴了公司治理中IT治理、数据治理和大数据治理的框架和方法。对政府大数据治理的概念、特征进行了阐释,提出了政府大数据治理的新挑战、新目标和新机制,最后指出大数据治理是政府管理的新形态。 ",DSJU202002002
大数据治理的全景式框架,"印鉴1,2:10482618|朱怀杰1,2:43865259|余建兴1,2:43865260|邱爽1,2:42959327",8,大数据; 治理; 框架;,"大数据治理是个复杂的工程,涉及技术和管理2个层面的内容。从系统的角度出发,从大数据和治理2个维度刻画大数据治理的过程,提出了一个全景式系统框架,阐述了该二维框架中每个单元的内容及彼此之间的关联关系。针对大数据维度的一个具体方面,介绍了在理论、方法与技术上的一些研究实践。 ",DSJU202002003
政府治理大数据的共享、集成与融合,金澈清1:21917017|陈晋川2:29751037|刘威3:10001033|张召1:07548607,14,政府治理; 数据共享; 数据融合; 数据集成;,"为支持政府治理方法科学化、过程智能化、结果精细化,政府治理大数据共享、集成与融合不能局限于提供数据访问接口,而是要从语义层面发现实体、找出关联关系以及演化过程。然而,政府治理大数据的多源、异构、动态、海量、孤岛化特性却使之面临严峻挑战。系统性回顾了大规模分布式异构数据共享、集成、融合的基础理论和方法,并指出了构建面向政府治理大数据的高可信共享、高精准集成、高效率融合技术的迫切性。 ",DSJU202002004
面向政府治理大数据的高性能计算系统,吴维刚1:31572550|常亮2:15187630|任江涛1:10172027|古天龙2:10611130,16,大数据处理; 政府治理; 分布式计算; 计算框架; 资源管理;,"大数据处理系统是未来社会的基础设施之一。政府治理场景下的大数据处理任务具有多域异构、多主体等特点,因此需要针对性地进行研究设计。从应用需求出发,分析各类政府治理场景对大数据处理技术提出的挑战,梳理大数据分布并行处理的关键技术,包括数据存储管理、计算平台、关键算法等,调研总结相关技术的研究现状,并提出面向政府治理大数据的高性能计算系统的技术框架,分析讨论不同技术路线的优劣。最后展望相关技术的未来发展趋势。 ",DSJU202002005
意图知识图谱的构建与应用,"陈成1,2:44065663|陈跃国1:24543793|刘宸3:44065664|吕晓彤1,2:44065665|杜小勇1,2:09746797",12,意图理解; 知识图谱; 自然语言问答; 实体识别;,"政府治理的效果评估是一个难题。没有很好的评估方法和评估体系,政府治理的效果就不能得到很好的保障。提出从自然语言问答的角度理解网民在政府治理话题中的意图,并通过构建意图知识图谱,关联语义等价的问题和意图。不同意图又通过实体的相互关联,支持意图的关联和对比。给出了意图知识图谱的定义、构建框架和政府治理场景的使用范例,展示了意图知识图谱是解决政府治理的效果评估问题的一种有效方法。在政府治理的场景中,利用意图知识图谱可以分析对比同一治理话题下不同治理主体之间的意图场,从而深入剖析特定治理主体在特定治理话题下的效果,并发现治理中存在的问题。 ",DSJU202002006
基于隐私保护的政府大数据治理研究, ,14,隐私; 大数据; 政府治理; 5G; 个人信息;,"5G时代数据的基础性战略资源属性进一步突显,数据是政府推进国家治理体系和治理能力现代化的有力支撑资源和工具。与此同时,个人隐私也逐渐受到关注,成为进一步运用政府大数据需要解决的核心问题之一。在分析5G时代政府大数据隐私新特征、现有数据法律对政府大数据隐私保护的影响的基础上,提出一个基于隐私保护的政府大数据治理模型,探讨5G时代背景下政府如何在利用好自身大数据资源改善服务质量和效率的同时保护公众隐私,以期对新时代政府治理能力提升有所助益。 ",DSJU202002007
大数据驱动乡村振兴共享共治机制研究,戴旭宏1:28210713|倪玖斌2:44089870,13,大数据; 乡村振兴; 共享; 共治;,"大数据技术为促进数字经济与乡村振兴融合提供了有效途径,当前互联网、大数据等信息技术手段发展势头迅猛,已深入经济社会发展的各个领域。然而,数据的共享和驱动仍是当前我国数字乡村建设的薄弱环节。在提升乡村治理体系和能力现代化的背景下,针对行政部门长期存在的""信息孤岛""问题,提出以大数据驱动构建乡村振兴治理、共享和监测平台,推动重塑乡村治理格局,为实施乡村振兴战略提供系统性支撑。 ",DSJU202002008
智慧城市知识图谱模型与本体构建方法, ,11,智慧城市; 知识图谱; 多领域; 本体构建;,"针对目前智慧城市建设过程中,数据资源共享不足、人工智能应用落地困难等问题,基于知识图谱的资源描述框架、本体知识体系载体、数字孪生的思路,提出一种以自然人的数据为核心的智慧城市知识图谱模型,并提出了支撑该模型的多领域知识图谱本体和子本体的构建思路。创新性地提出了""天地人""的模型思路,为智慧城市的数据如何服务城市居民生活、如何让更多人工智能算法模型在智慧城市应用中落地提供一定的参考。 ",DSJU202002009
安徽省智慧政务新模式及典型应用,,6, ,"<正>1 引言党的十九届四中全会提出,创新行政管理和服务方式,加快推进全国一体化政务服务平台建设。安徽省围绕当前政务服务改革进程中普遍遇到的""服务搜不到、搜不全,事项办不快、办不成,政府集成式、套餐式服务能力弱""等难点,提出""慧办事、慧审批、慧监管""的智慧政务新模式,通过业务精细梳理、数据高度共享,电子证照、电子签名、电子印章等新技术在政务服务领域的充分应用,提升政务服务规范化、便利化水平,助力政府治理现代化。 ",DSJU202002010
一种基于随机投影的本地差分隐私高维数值型数据收集算法,孙慧中:43432643|杨健宇:35773552|程祥:26585269|苏森:05973560,9,高维数值型数据; 隐私保护; 本地差分隐私; 随机投影;,"对满足本地差分隐私的高维数值型数据收集问题进行了研究。设计了一种基于随机投影技术的满足本地差分隐私的高维数值型数据收集算法Multi-RPHM,在满足本地差分隐私的条件下,该算法处理维度较高的数据时能够保证所收集的数据的高效用。从理论上证明了该算法满足ε-本地差分隐私的要求。在合成数据集上进行的实验结果验证了该算法的有效性。 ",DSJU202001001
基于安全压缩感知的大数据隐私保护,王平1:10774140|张玉书2:43725068|何兴1:33409705|仲盛3:08039490,11,安全压缩感知; 大数据; 物联网; 隐私保护;,"当前的数据""大爆炸""主要受万物互联的驱动,服务于人类衣食住行的各类物联网感知设备时刻在捕获个人隐私数据,然而,这些隐私数据已成为网络攻击的重点目标。分析了资源受限的物联网应用中的数据安全问题,介绍了基于压缩感知理论的隐私保护技术——安全压缩感知,提出了相应的大数据采集方案,并且通过安全性理论和实验分析给出了结论性的呼吁:将安全压缩感知作为一种感知层内置的轻量级加密机制,以近乎零的成本为数据提供第一层安全防护。 ",DSJU202001002
基于同源策略的移动应用细粒度隐私保护技术,卢文雄:43725069|王浩宇:30933537,12,隐私保护; 第三方库; 访问控制; 移动应用;,"Android等移动平台基于权限的访问控制机制是作用在应用粒度上的。应用中除了包含应用开发者本身的代码以外,还包含第三方库代码,导致应用权限滥用情况严重。引入类似浏览器同源策略的细粒度控制机制,打破了应用之间的界限,将粒度细化到代码来源。将控制机制实现到Android系统层,并提供了一套插桩工具对应用进行修改。实验结果表明,系统能够起到允许或禁止特定开发者执行特定敏感行为的作用。 ",DSJU202001003
人工智能时代的数据隐私、垄断与公平,孟小峰:00096403|王雷霞:43725070|刘俊旭:42771676,12,大数据; 数据伦理; 人工智能; 数据隐私; 数据垄断; 决策公平; 数据透明;,"随着人工智能时代的到来,大数据中蕴含的价值被不断开发,但与此同时,用户的隐私泄露问题、数据垄断问题以及算法决策中的公平问题愈发凸显。为详细探究此类伦理问题,首先从数据发展的角度出发,探讨人工智能时代隐私、垄断与公平问题的产生环境及其独特性。而后,对这3个伦理问题逐一分析其现状及挑战,得出当前伦理问题产生的本质是数据获取、使用以及决策的不透明性,提出建立数据透明机制是解决这些问题的重要举措。 ",DSJU202001004
